lag,acf,series
1,0.9544415249583957,citywide
2,0.8346384556062835,citywide
3,0.6694354598515343,citywide
6,0.12007911650814154,citywide
12,-0.3573303742939088,citywide
24,0.927318181685676,citywide
48,0.8592500424694992,citywide
168,0.7935701151112339,citywide
1,0.945852761852609,duomo
2,0.815757761276973,duomo
3,0.639011453300499,duomo
6,0.02359774440717316,duomo
12,-0.6848904773768546,duomo
24,0.8579833622387559,duomo
48,0.7713662792973005,duomo
168,0.7743307300820462,duomo
1,0.9649340266226276,bocconi
2,0.8923961326394311,bocconi
3,0.7916237353396534,bocconi
6,0.4308685887652931,bocconi
12,0.00762367351328074,bocconi
24,0.8209033176042712,bocconi
48,0.680796958425472,bocconi
168,0.694986204055005,bocconi
1,0.9464693330144477,navigli
2,0.8380433299466306,navigli
3,0.6978335119606992,navigli
6,0.29466982445707224,navigli
12,0.1849035090687157,navigli
24,0.9107002406834949,navigli
48,0.8443752937439064,navigli
168,0.6487068199055123,navigli
1,0.9584667719746957,business
2,0.8636580967875682,business
3,0.7389063796764355,business
6,0.3503734881885837,business
12,0.046917623893125565,business
24,0.8765550244907157,business
48,0.7700962107863927,business
168,0.6683115096284433,business
1,0.9586123599392191,business-2
2,0.8559042868470145,business-2
3,0.702019792797326,business-2
6,0.06865728407029856,business-2
12,-0.8046937250145362,business-2
24,0.9283694344038868,business-2
48,0.8743523149279414,business-2
168,0.8165232947470844,business-2
1,0.9357289372619658,mixed_suburban
2,0.8022239427691035,mixed_suburban
3,0.636377456142526,mixed_suburban
6,0.11647935316967947,mixed_suburban
12,-0.21395031451044097,mixed_suburban
24,0.8846747302334576,mixed_suburban
48,0.8117580907102434,mixed_suburban
168,0.6978955155890817,mixed_suburban
1,0.9423166253013047,mixed_suburban-2
2,0.8275146570470894,mixed_suburban-2
3,0.6840814382814272,mixed_suburban-2
6,0.2882104871330924,mixed_suburban-2
12,0.14995131331264674,mixed_suburban-2
24,0.8963131161652618,mixed_suburban-2
48,0.8229187195842278,mixed_suburban-2
168,0.5945972153095546,mixed_suburban-2
